file,pubDate
arctic-data.14507.8,2018-01-09
arctic-data.14541.2,2018-01-14
arctic-data.14543.4,2018-02-20
arctic-data.14545.14,2018-02-26
arctic-data.14549.17,2018-01-18
arctic-data.14565.10,2018-01-18
arctic-data.14567.13,2018-01-19
arctic-data.14569.10,2018-01-19
arctic-data.14571.10,2018-01-19
arctic-data.14578.6,2018-01-23
arctic-data.14583.3,2018-01-24
arctic-data.14585.3,2018-01-24
arctic-data.14587.1,2018-01-24
arctic-data.14589.1,2018-01-24
arctic-data.14591.1,2018-01-24
arctic-data.14593.1,2018-01-24
arctic-data.14595.1,2018-01-24
arctic-data.14597.3,2018-01-26
arctic-data.14599.2,2018-01-26
arctic-data.14601.2,2018-01-26
arctic-data.14603.2,2018-01-26
arctic-data.14605.2,2018-01-26
arctic-data.14607.2,2018-01-26
arctic-data.14609.1,2018-01-26
arctic-data.14611.1,2018-01-26
arctic-data.14613.1,2018-01-29
arctic-data.14615.1,2018-01-29
arctic-data.14617.3,2018-01-29
arctic-data.14619.1,2018-01-29
arctic-data.14626.9,2018-01-30
arctic-data.14632.5,2018-01-30
arctic-data.14638.4,2018-01-30
arctic-data.14644.4,2018-01-30
arctic-data.14646.10,2018-02-07
arctic-data.14654.4,2018-02-06
arctic-data.14656.9,2018-02-08
arctic-data.14657.9,2018-03-22
arctic-data.14661.22,2018-02-14
arctic-data.14666.13,2018-02-16
arctic-data.14667.3,2018-02-23
arctic-data.14669.1,2018-02-20
arctic-data.14674.3,2018-02-20
arctic-data.14679.9,2018-02-20
arctic-data.14681.6,2018-03-13
arctic-data.14686.17,2018-02-28
arctic-data.14689.11,2018-03-08
arctic-data.14691.7,2018-03-10
arctic-data.14693.7,2018-03-13
arctic-data.14695.7,2018-03-10
arctic-data.14699.9,2018-04-27
arctic-data.14700.7,2018-03-15
arctic-data.14704.6,2018-05-17
arctic-data.14706.6,2018-03-19
arctic-data.14708.3,2018-03-19
arctic-data.14710.5,2018-03-19
arctic-data.14712.3,2018-03-19
arctic-data.14714.6,2018-03-19
arctic-data.14720.4,2018-03-20
arctic-data.14726.3,2018-03-20
arctic-data.14730.2,2018-04-13
arctic-data.14731.6,2018-04-11
arctic-data.14737.7,2018-03-26
arctic-data.14738.5,2018-03-29
arctic-data.14739.14,2018-04-04
arctic-data.14742.4,2018-04-11
arctic-data.14753.13,2018-04-13
arctic-data.14755.6,2018-04-17
arctic-data.14757.9,2018-04-18
arctic-data.14766.4,2018-04-18
arctic-data.14769.5,2018-04-18
arctic-data.14771.9,2018-04-23
arctic-data.14785.24,2018-04-29
arctic-data.14787.11,2018-05-02
arctic-data.14789.24,2018-05-04
arctic-data.14790.10,2018-05-12
arctic-data.14800.17,2018-05-16
arctic-data.14802.9,2018-05-17
arctic-data.14804.8,2018-05-17
arctic-data.14812.4,2018-05-21
arctic-data.14813.5,2018-05-30
arctic-data.14815.1,2018-06-01
arctic-data.14817.10,2018-06-05
arctic-data.14819.7,2018-06-05
arctic-data.14821.5,2018-06-04
arctic-data.14823.7,2018-06-04
arctic-data.14825.7,2018-06-06
arctic-data.14828.5,2018-06-08
arctic-data.14830.6,2018-06-08
arctic-data.1573.1,2016-04-04
arctic-data.1575.3,2016-04-11
arctic-data.1577.4,2016-06-06
arctic-data.1579.4,2016-04-11
arctic-data.1580.4,2016-04-14
arctic-data.2368.3,2016-04-18
arctic-data.2370.8,2016-04-19
arctic-data.3942.6,2016-06-09
arctic-data.3944.5,2016-06-09
arctic-data.3946.4,2016-06-09
arctic-data.3948.4,2016-06-09
arctic-data.3950.5,2016-06-09
arctic-data.3952.6,2016-06-09
arctic-data.3954.5,2016-06-09
arctic-data.3956.6,2016-06-09
arctic-data.3958.6,2016-06-09
arctic-data.6151.8,2016-04-26
arctic-data.6158.4,2016-05-04
arctic-data.6164.5,2016-04-26
arctic-data.6166.6,2016-04-26
arctic-data.6170.7,2016-06-27
arctic-data.6172.7,2016-05-03
arctic-data.6183.3,2016-05-05
arctic-data.6185.5,2016-05-09
arctic-data.6187.6,2016-05-19
arctic-data.6192.12,2016-06-15
arctic-data.6194.1,2016-05-12
arctic-data.6196.9,2016-05-12
arctic-data.6.2,2016-03-09
arctic-data.6228.6,2016-06-14
arctic-data.6233.3,2016-05-20
arctic-data.6236.6,2016-06-01
arctic-data.6238.5,2016-06-01
arctic-data.6240.6,2016-06-01
arctic-data.6244.2,2016-06-02
arctic-data.7.3,2016-03-09
arctic-data.7732.4,2016-06-06
arctic-data.7734.2,2016-06-09
arctic-data.7753.4,2016-06-09
arctic-data.7764.1,2016-06-09
arctic-data.7773.1,2016-06-09
arctic-data.7774.1,2016-06-09
arctic-data.7775.1,2016-06-09
arctic-data.7776.1,2016-06-09
arctic-data.7787.1,2016-06-10
arctic-data.7789.5,2016-06-10
arctic-data.7791.7,2016-06-10
arctic-data.7792.20,2016-07-20
arctic-data.7799.4,2016-06-15
arctic-data.7837.4,2016-06-20
arctic-data.7838.2,2016-06-21
arctic-data.7839.2,2016-06-21
arctic-data.7840.3,2016-06-21
arctic-data.7841.3,2016-06-21
arctic-data.7842.3,2016-06-21
arctic-data.7843.4,2016-06-21
arctic-data.8.1,2016-03-09
arctic-data.9.2,2016-03-18
arctic-data.9351.2,2016-06-25
arctic-data.9361.2,2016-06-27
arctic-data.9368.1,2016-06-27
arctic-data.9373.2,2016-06-27
arctic-data.9379.6,2016-07-04
arctic-data.9381.5,2016-07-04
arctic-data.9383.3,2016-07-04
arctic-data.9384.5,2016-07-07
arctic-data.9389.1,2016-07-12
arctic-data.9390.1,2016-07-12
arctic-data.9391.1,2016-07-12
arctic-data.9394.1,2016-07-18
arctic-data.9397.2,2016-07-18
arctic-data.9400.2,2016-07-18
arctic-data.9403.2,2016-07-18
arctic-data.9408.8,2016-07-20
