"funding","title"
"9452663","Young Scholars Project in Interdisciplinary Environmental   and Earth Sciences"
"9252348","Geophysical Instrumentation for Undergraduate Training in   Field Science on the Juneau Icefield, Alaska"
"0856845","Continued Core Atmospheric and Snow Measurements at the Summit, Greenland Environmental Observatory"
"0968391","PIRE: International Collaboration and Education in Ice Core Science (ICE-ICS)"
"1023318","Collaborative Research: Analysis of McCall Glacier Ice Core and Related Modern Process Studies"
"0538416","Collaborative Research: Norwegian-United States IPY Scientific Traverse: Climate Variability and Glaciology in East Antarctica"
"1204176","Collaborative Research: Continuous Records of Greenhouse Gases and Aerosol Deposition During the Holocene: Testing the Fidelity of New Methods for Reconstructing Atmospheric Change"
"1417787","Collaborative Research: Petermann Gletscher, Greenland - Paleoceanography and Paleoclimatology"
"1224181","Examining the intersections of place-making and development in the Pribilof Islands, Alaska"
"1523191","Doctoral Dissertation Research: Mapping Community Exposure to Coastal Climate Hazards in the Arctic: A Case Study in Alaska's North Slope"
"1108571","Education and Community Viability in Western Alaska"
"1550260","Partial Support for the Eleventh Conference on Hunting and Gathering Societies"
"1303879","Collaborative Reasearch:  Integrated Characterization of Energy, Clouds, Atmospheric structure, and Precipitation at Summit (ICECAPS)"
"0856559","Collaborative Research:  An Integrated Characterization of Energy, Clouds,   Atmospheric State, and Precipitation at Summit (ICECAPS)"
"1561437","The Carbon Balance of Arctic River Deltas: Tundra Fire as an Agent of System Change"
"1624927","Polaris: Catalyzing Demographic Change in the Arctic Research Community through an Immersive and Sustained Undergraduate Research Experience"
"1445811","Making Science Accessible to Inuit, Inughuit, and Iñupiat Arctic Indigenous Communities in Their Own Languages"
"1445823","High-Performance & Distributed Computing for Polar Sciences: Workshop on Applications, Cyberinfrastructure Requirements and Opportunities"
"1782189","NA"
"1304899","Collaborative Research:   Dynamics of subglacial erosion of soft sediments and its consequences for glacier evolution"
"1203779","Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool"
"1203686","Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool"
"1204084","Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool"
"0611995","Factors controlling seasonal changes in the structure and function of food webs of perennial spring streams in Arctic Alaska"
"0902126","Collaborative proposal: Shifting seasonality of Arctic river hydrology alters key biotic linkages among aquatic systems"
"0902153","Collaborative Research: Shifting seasonality of Arctic river hydrology alters key biotic linkages among aquatic systems"
"0902106","COLLABORATIVE RESEARCH: How does changing seasonality affect the capacity of arctic stream networks to influence nutrient fluxes from the landscape to the ocean?"
"0902029","Collaborative Research: How does changing seasonality affect the capacity of arctic stream networks to influence nutrient fluxes from the landscape to the ocean?"
"0902113","Collaborative Research: How Does Changing Seasonality Affect the Capacity of Arctic Stream Networks to Influence Nutrient Fluxes from the Landscape to the Ocean?"
"1023537","Late Quaternary Sea Ice History of the Beringian Arctic Gateway"
"1304270","Collaborative Research:  Atmospheric measurements of O2/N2 ratio, CO2 concentration, and CO2 isotopes in support of the Arctic Observing Network"
"1304271","AON:  Development of Sustainable Observations of Thermal State of Permafrost in North America and Russia: The U.S. Contribution to the Global Terrestrial Network for Permafrost"
"1017920","NA"
"1303991","Doctoral Dissertation Research:   ""The sea is our garden"": Inupiaq subsistence, indigenous knowledge, and the 'politics of nature' in the context of Arctic offshore development"
"1304905","Collaborative research:  What role do glaciers play in terrestrial sub-arctic hydrology?"
"8048307","NA"
"5237777","NA"
"1417772","Colonization and Christianity:  the development of Viking Age and medieval hierarchies in Skagafjordur, North Iceland"
"1523025","Doctoral Dissertation Improvement Grant: The Archaeological Investigation of Erosion and its Effect on Social Processes in the Arctic"
"1432982","Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations"
"2919918","NA"
"1504381","Arctic Observing Networks: Collaborative Research: ITEX AON - understanding the relationships between vegetation change, plant phenology, and ecosystem function in a warming Arctic"
"2414016","NA"
"4083632","NA"
"1432277","Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations"
"1504141","Arctic Observing Networks: Collaborative Research: ITEX AON - understanding the relationships between vegetation change, plant phenology, and ecosystem function in a warming Arctic"
"0632187","Collaborative Research:  IPY:  Cloud Properties Across the Arctic Basin from Surface and Satellite Measurements - An Existing Arctic Observing Network"
"1107491","The role of tributaries in glacier surges"
"1107737","Phase One data rescue of the Austin Post air photo collection and new repeat aerial photography of Alaskan valley glaciers"
"0909454","Collaborative Research: Subglacial Controls on Greenland Ice Sheet Marginal Acceleration"
"0908156","Collaborative Research: Subglacial controls on Greenland Ice Sheet marginal acceleration"
"1348450","An open source framework for metadata exploration and discovery of Polar Data"
"1417700","Collaborative Research:  Vegetation And Ecosystem Impacts On Permafrost Vulnerability"
"1417745","Collaborative Research:  Vegetation And Ecosystem Impacts On Permafrost Vulnerability"
"1417908","Collaborative Research:  Vegetation And Ecosystem Impacts On Permafrost Vulnerability"
"0856531","AON:  Continuing the Beaufort Gyre Observing System to Document and Enhance Understanding Environmental Change in the Arctic"
"2769875","NA"
"1088372","NA"
"1005240","REU Site: Center for Scalable and Integrated Nanomanufacturing (SINAM) Nanomanufacturing Summer Academy (NMSA)"
"1503672","Coordination, Data Management and Enhancement of the International Arctic Buoy Programme"
"0520287","Coordination, Data Management and Enhancement of the IABP"
"0856292","Coordination, Data Management and Enhancement of the International Arctic Buoy Programme"
"1204267","Circulation and Respiration in Ice-covered Arctic Lakes"
"1304755","Oceanographic and Biological Implications of Arctic Sea-Ice Change:  Evidence from Quaternary Benthic Foraminifers"
"1646262","NA"
"1303766","Collaborative Research:   Assessing the Impact of Small, Canadian Arctic River Flows (SCARFs) to the Freshwater Budget of the Canadian Archipelago"
"1023118","Collaborative Research: The O-Buoy Network of Chemical Sensors in the Arctic Ocean"
"1023393","Collaborative Research: The O-Buoy Network of Chemical Sensors in the Arctic Ocean"
"1022834","Collaborative Research:  The O-Buoy Network of Chemical Sensors in the Arctic Ocean"
"1022773","Collaborative Research: The O-Buoy Network of Chemical Sensors in the Arctic Ocean"
"1848681","NA"
"4752674","NA"
"1306151","NA"
"1285164","NA"
"2861235","NA"
"2102714","NA"
"1203473","Collaborative Research: Eurasian and Makarov basins observational network targets changes in the Arctic Ocean"
"1503928","Collaborative Research: Visualization, analysis, and HPC modeling of subglacial hydrology from high-resolution 3D conduit scans acquired with a novel sensor"
"1203838","Collaborative Research:  P2C2--Reconstructing Central Alaskan Precipitation Variability and Atmospheric Circulation during the Past Millennium"
"1534673","The Second Polar Data Forum: Understanding the Polar Regions through Globally Collaborative Data Management"
