funding_num,date,expDate,fundProgramName,startDate,title
1107524,06/28/2011,06/30/2015,ARCTIC SYSTEM SCIENCE PROGRAM,07/01/2011,"Past, Present and Fuuture States and Variations of the late Quarternary Permafrost Subsystem"
1107593,08/26/2011,08/31/2016,AON IMPLEMENTATION,09/01/2011,"Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
1107607,08/30/2011,02/29/2016,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON)--Multiscale observations of lacustrine systems
1107623,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,COLLABORATIVE RESEARCH: Observing and characterizing submesoscale dynamics in the Arctic Ocean
1107645,08/24/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research:  Pacific-Arctic Carbon Synthesis - Transformations, Fluxes, and Budgets"
1107662,07/27/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107695,07/27/2011,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2011,Studies of the Production of Molecular Halogens in Arctic Snowpacks and on Sea Ice Surfaces
1107725,08/29/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/15/2011,"Precision, Accuracy, and Aliasing of Sea Ice Thickness from Multiple Observing Platforms"
1107737,03/07/2012,02/29/2016,POLAR CYBERINFRASTRUCTURE,03/15/2012,Phase One data rescue of the Austin Post air photo collection and new repeat aerial photography of Alaskan valley glaciers
1107761,07/20/2011,07/31/2015,ARCTIC NATURAL SCIENCES,08/01/2011,Collaborative Research:  Are There Natural Climate Cycles in the Holocene Variations of Arctic Sea Ice and Greenland Icebergs Across the Denmark Strait?
1107774,08/24/2011,12/31/2017,ANTARCTIC OCEAN & ATMOSPH SCI,01/01/2012,The Arctic Great Rivers Observatory (Arctic-GRO)
1107792,08/30/2011,08/31/2015,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON)
1107798,09/14/2011,09/30/2014,ARCTIC NATURAL SCIENCES,10/01/2011,Collaborative Research: Forty-Thousand Years of Yedoma: An investigation into the spatial heterogeneity and paleo-history of organic-rich permafrost in Alaska
1107801,08/10/2011,08/31/2017,ARCTIC NATURAL SCIENCES,09/01/2011,The  ultra-warm Arctic ca. 90 million years ago
1107854,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107885,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107892,08/26/2011,08/31/2016,AON IMPLEMENTATION,09/01/2011,"Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
1107942,07/20/2011,07/31/2016,ARCTIC NATURAL SCIENCES,08/01/2011,Collaborative Research: Do Holocene Variations In Arctic Sea Ice And Greenland Icebergs Drifting Through Denmark Strait Reflect Natural Cycles?
1107981,08/26/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research: Sensitivity of Circum-Arctic Peatland Carbon to Holocene Warm Climates and Climate Seasonality
1108074,08/03/2011,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2011,Modeling and Isotopes Link Mycorrhizal Fungi to Soil Carbon and Organic Nitrogen Use
1108200,08/11/2011,07/31/2015,ARCTIC NATURAL SCIENCES,08/15/2011,Collaborative Research: Climate-mediated coupling of hydrology and biogeochemistry in arctic hillslopes
1108306,08/24/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,COLLABORATIVE RESEARCH: Response of the Northwest Greenland cryosphere to Holocene climate change
1108391,07/21/2011,08/31/2017,AON IMPLEMENTATION,09/01/2011,"Atmospheric Hydrocarbons at GEOSummit, Greenland, as Tracers for Climate Change, Air Pollution Transport, and Oxidation Chemistry in the Arctic"
1108425,08/26/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research: Linking belowground phenology and ecosystem function in a warming Arctic
1108427,08/31/2011,08/31/2015,AON IMPLEMENTATION,09/15/2011,Continuous Spatial and Radiative Measurements of Arctic Clouds Leading to a Network of Compact Infrared Cloud Imagers
1108451,08/30/2011,02/28/2015,AON IMPLEMENTATION,09/15/2011,Development of the Autonomous Arctic Infrared Observer (AAIRO)
1108571,07/27/2011,02/29/2016,ARCTIC SOCIAL SCIENCES,08/01/2011,Education and Community Viability in Western Alaska
1111395,06/10/2011,05/31/2014,ARCTIC SOCIAL SCIENCES,06/15/2011,Paleoindian Adaptations in Eastern Beringia: Prelude or Postscript to the Early Settlement of the Americas
1111882,07/21/2011,02/28/2017,AON IMPLEMENTATION,09/01/2011,"The Greenland GPS Network (GNET):  Geodetic characterization of water vapor, climate cycles, climate change and ice mass balance"
1115332,01/19/2011,01/31/2012,ARCTIC NATURAL SCIENCES,02/01/2011,"Chromophoric dissolved organic material (CDOM) in Arctic surface waters, implications for solar heating"
1130008,09/28/2011,09/30/2015,PHYSICAL OCEANOGRAPHY,10/01/2011,Collaborative Research:  Submarine Melting of Greenland's Glaciers:  What are the Relevant Ocean Dynamics?
1140098,06/23/2011,06/30/2012,ARCTIC NATURAL SCIENCES,07/01/2011,RAPID: Tracking Radioactive Fallout from the Fukushima Dai-ichi Disaster in Arctic Snow
1142145,07/30/2012,07/31/2017,ANTARCTIC OCEAN & ATMOSPH SCI,08/15/2012,Reactive Gas Chemistry in the Dome C Snowpack and its Influence on Surface Layer Chemistry and Ice Core Records
1142201,07/01/2011,06/30/2016,ARCTIC SOCIAL SCIENCES,07/01/2011,EAGER: Testing genotype-hormone associations in circumpolar ancestral and descendant populations
1148800,08/25/2011,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2011,"RAPID:  Bering Glacier Surge--Observation, Analysis and Parameterization"
