file,funding,funding_num
arctic-data.14375.14,  NSFC 4123052,4123052
arctic-data.14375.14,  NSFC 4147617,4147617
arctic-data.14375.14,  NSFC 4147617,4147617
arctic-data.14375.14,  NSFC 4140622,4140622
arctic-data.14377.22,1205062,1205062
arctic-data.14396.5,1504381,1504381
arctic-data.14396.5,1432982,1432982
arctic-data.14398.4,1504381,1504381
arctic-data.14398.4,1432982,1432982
arctic-data.14400.5,1504381,1504381
arctic-data.14400.5,1432982,1432982
arctic-data.14402.3,1504381,1504381
arctic-data.14402.3,1432982,1432982
arctic-data.14404.5,1504381,1504381
arctic-data.14404.5,1432982,1432982
arctic-data.14406.3,1504381,1504381
arctic-data.14406.3,1432982,1432982
arctic-data.14408.5,1504381,1504381
arctic-data.14408.5,1432982,1432982
arctic-data.14410.4,1504381,1504381
arctic-data.14410.4,1432982,1432982
arctic-data.14415.8,1642851,1642851
arctic-data.14419.15,1304337,1304337
arctic-data.14419.15,NSFC-4123052,4123052
arctic-data.14419.15,NSFC-4147617,4147617
arctic-data.14419.15,NSFC-4147617,4147617
arctic-data.14419.15,NSFC-4140622,4140622
arctic-data.14419.15,0909330,0909330
arctic-data.14423.1,1304905,1304905
arctic-data.14433.1,1304905,1304905
arctic-data.14440.8,1304523,1304523
arctic-data.14440.8,1304879,1304879
arctic-data.14442.16,1303965,1303965
arctic-data.14442.16,Foundation under grant 1303965,1303965
arctic-data.14442.16, 282688,282688
arctic-data.14444.3,1335302,1335302
arctic-data.14453.5,1503724,1503724
arctic-data.14454.1,1304905,1304905
arctic-data.14458.4,1232856,1232856
arctic-data.14458.4,1504394,1504394
arctic-data.14461.6,1204220,1204220
arctic-data.14461.6, 1204216,1204216
arctic-data.14477.9,1203418,1203418
arctic-data.14477.9,1203451,1203451
arctic-data.14482.6,1203418,1203418
arctic-data.14482.6,1203451,1203451
arctic-data.14487.5,1504934,1504934
arctic-data.14489.16,ARC-1264098,1264098
arctic-data.14493.9,1204223,1204223
arctic-data.14495.18,1203418,1203418
arctic-data.14495.18, 1203451,1203451
arctic-data.14506.3,1107801,1107801
arctic-data.14507.8,1643187,1643187
arctic-data.14541.2,ARC-1304137,1304137
arctic-data.14543.4,1504345,1504345
arctic-data.14545.14,1432277,1432277
arctic-data.14549.17,1561437,1561437
arctic-data.14565.10,1561437,1561437
arctic-data.14567.13,1561437,1561437
arctic-data.14569.10,1561437,1561437
arctic-data.14571.10,1107481,1107481
arctic-data.14571.10,1417300,1417300
arctic-data.14578.6,NSF-ARC-1311655,1311655
arctic-data.14578.6, NSF-ARC-0909499,0909499
arctic-data.14583.3,1504345,1504345
arctic-data.14585.3,1504345,1504345
arctic-data.14587.1,1504345,1504345
arctic-data.14589.1,1504345,1504345
arctic-data.14591.1,1504345,1504345
arctic-data.14593.1,1504345,1504345
arctic-data.14595.1,1504345,1504345
arctic-data.14597.3,1504345,1504345
arctic-data.14599.2,1504345,1504345
arctic-data.14601.2,1504345,1504345
arctic-data.14603.2,1504345,1504345
