file,funding,funding_num,pubDate
autogen.2016032221502884456.8,ARC-0612457,0612457,2009-12-15
autogen.2016032221502884456.8,1023118,1023118,2009-12-15
autogen.2016032221502884456.8,1023393,1023393,2009-12-15
autogen.2016032221502884456.8,1022834,1022834,2009-12-15
autogen.2016032221502884456.8,1022773,1022773,2009-12-15
autogen.2016032221503268657.12,ARC-0612457,0612457,2016-07-29
autogen.2016032221503268657.12,1023118,1023118,2016-07-29
autogen.2016032221503268657.12,1023393,1023393,2016-07-29
autogen.2016032221503268657.12,1022834,1022834,2016-07-29
autogen.2016032221503268657.12,1022773,1022773,2016-07-29
autogen.2016032221503676658.8,1023118,1023118,2016-08-17
autogen.2016032221503676658.8,1023393,1023393,2016-08-17
autogen.2016032221503676658.8,1022834,1022834,2016-08-17
autogen.2016032221503676658.8,1022773,1022773,2016-08-17
autogen.2016032221504117059.7,1023118,1023118,2016-08-17
autogen.2016032221504117059.7,1023393,1023393,2016-08-17
autogen.2016032221504117059.7,1022834,1022834,2016-08-17
autogen.2016032221504117059.7,1022773,1022773,2016-08-17
autogen.2016032221504570160.7,1023118,1023118,2011-07-11
autogen.2016032221504570160.7,1023393,1023393,2011-07-11
autogen.2016032221504570160.7,1022834,1022834,2011-07-11
autogen.2016032221504570160.7,1022773,1022773,2011-07-11
autogen.2016032221504932461.7,1023118,1023118,2016-08-17
autogen.2016032221504932461.7,1023393,1023393,2016-08-17
autogen.2016032221504932461.7,1022834,1022834,2016-08-17
autogen.2016032221504932461.7,1022773,1022773,2016-08-17
autogen.2016032221505338362.9,1023118,1023118,2014-02-15
autogen.2016032221505338362.9,1023393,1023393,2014-02-15
autogen.2016032221505338362.9,1022834,1022834,2014-02-15
autogen.2016032221505338362.9,1022773,1022773,2014-02-15
autogen.2016032221505672563.9,1023118,1023118,2016-08-19
autogen.2016032221505672563.9, 1023393,1023393,2016-08-19
autogen.2016032221505672563.9, 1022834,1022834,2016-08-19
autogen.2016032221505672563.9, 1022773,1022773,2016-08-19
autogen.2016032221510453965.7,1023118,1023118,2016-08-17
autogen.2016032221510453965.7,1023393,1023393,2016-08-17
autogen.2016032221510453965.7,1022834,1022834,2016-08-17
autogen.2016032221510453965.7,1022773,1022773,2016-08-17
autogen.2016032221510828366.7,1023118,1023118,2016-08-17
autogen.2016032221510828366.7,1023393,1023393,2016-08-17
autogen.2016032221510828366.7,1022834,1022834,2016-08-17
autogen.2016032221510828366.7,1022773,1022773,2016-08-17
autogen.2016032221511201967.6,1023118,1023118,2016-08-19
autogen.2016032221511201967.6,1023393,1023393,2016-08-19
autogen.2016032221511201967.6,1022834,1022834,2016-08-19
autogen.2016032221511201967.6,1022773,1022773,2016-08-19
autogen.2016032221511628368.9,1023118,1023118,2016-08-17
autogen.2016032221511628368.9,1023393,1023393,2016-08-17
autogen.2016032221511628368.9,1022834,1022834,2016-08-17
autogen.2016032221511628368.9,1022773,1022773,2016-08-17
autogen.2016032221512034369.10,1023118,1023118,2016-08-17
autogen.2016032221512034369.10,1023393,1023393,2016-08-17
autogen.2016032221512034369.10,1022834,1022834,2016-08-17
autogen.2016032221512034369.10,1022773,1022773,2016-08-17
autogen.2016032221513446673.2,NSF Award 0909482,0909482,2014-02-27
autogen.2016032221515264478.2,NSF Award 1111882,1111882,2014-07-08
autogen.2016032221520325781.2,NSF Award 0631713,0631713,2009-11-18
autogen.2016032221520325781.2,NSF Award 0632154,0632154,2009-11-18
autogen.2016032221520676982.2,NSF Award 0732944,0732944,2010-01-22
autogen.2016032221522540687.8,0632398,0632398,2016-10-21
autogen.2016032221522540687.8, 0856377,0856377,2016-10-21
autogen.2016032221522540687.8, 0856867,0856867,2016-10-21
autogen.2016032221522540687.8,0856867,0856867,2016-10-21
autogen.2016032221523696790.2,NSF Award 0632398,0632398,2009-11-18
autogen.2016032221523696790.2,NSF Award 0856377,0856377,2009-11-18
autogen.2016032221523696790.2,NSF Award 0856867,0856867,2009-11-18
autogen.2016032221524065391.10,NSF Award 0632398,0632398,NA
autogen.2016032221524065391.10,NSF Award 0856867,0856867,NA
autogen.2016032221524829393.10,0856867,0856867,2016-09-21
autogen.2016032221525558895.3,NSF Award 0632398,0632398,NA
autogen.2016032221525558895.3,NSF Award 0856867,0856867,NA
autogen.2016032221530692998.2,NSF Award 0649006,0649006,2012-08-10
autogen.2016032221530997499.3,0649006,0649006,2012-08-11
autogen.2016032221533736005.3,0649006,0649006,2013-11-10
autogen.2016032221534121706.3,0649006,0649006,2013-11-10
autogen.2016032221540193411.3,0649006,0649006,2013-11-09
autogen.2016032221560127642.3,0649006,0649006,2013-11-05
autogen.2016032221563679451.3,0649006,0649006,2013-11-09
autogen.2016032221564074452.3,0649006,0649006,2013-11-09
autogen.2016032221564517553.3,0649006,0649006,2013-11-09
autogen.2016032221564901754.3,0649006,0649006,2013-11-08
autogen.2016032221565353455.3,0649006,0649006,2013-11-09
autogen.2016032221565794056.3,0649006,0649006,2013-11-08
autogen.2016032221570228057.3,0244097,0244097,2013-11-09
autogen.2016032221570595358.3,0649006,0649006,2013-11-10
autogen.2016032221570922459.3,0649006,0649006,2013-11-08
autogen.2016032221571342760.3,0649006,0649006,2013-11-10
autogen.2016032221571727461.3,0244097,0244097,2013-11-09
autogen.2016032221572078862.3,0649006,0649006,2013-11-08
autogen.2016032221572444463.3,0649006,0649006,2012-08-11
autogen.2016032221572802064.3,0649006,0649006,2013-11-10
autogen.2016032221573120065.3,0649006,0649006,2013-11-08
autogen.2016032221573580466.3,0244097,0244097,2013-11-10
autogen.2016032221573995967.3,0649006,0649006,2013-11-09
autogen.2016032221574378568.3,0649006,0649006,2013-11-08
autogen.2016032221574761569.3,0649006,0649006,2013-11-08
autogen.2016032221575146070.3,0244097,0244097,2013-11-10
autogen.2016032221575540571.3,0649006,0649006,2013-11-08
autogen.2016032221575946572.3,0649006,0649006,2013-11-10
autogen.2016032221580303373.3,0649006,0649006,2013-11-09
autogen.2016032221580728774.3,0649006,0649006,2013-11-10
autogen.2016032221581119675.3,0649006,0649006,2013-11-09
autogen.2016032221581447176.3,0649006,0649006,2013-11-10
autogen.2016032221581864477.3,0649006,0649006,2013-11-08
autogen.2016032221582294378.3,0649006,0649006,2013-11-08
autogen.2016032221582636779.3,0649006,0649006,2013-11-08
autogen.2016032221583046480.3,0649006,0649006,2013-11-08
