funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
0909541, 0909541; 0909541; NSF Award 0909541,7,TRUE,2013-11-21T00:00:00Z,2016-04-02T03:37:15Z
0909571,NSF Award 0909571,1,TRUE,2014-02-11T00:00:00Z,2017-08-02T10:27:36Z
0935336,NSF Award 0935336,1,TRUE,2013-02-22T00:00:00Z,2016-04-02T09:06:35Z
0936365,NSF Award 0936365,1,TRUE,2010-06-05T00:00:00Z,2016-04-02T09:07:17Z
1003740,NSF Award 1003740,1,TRUE,2013-08-30T00:00:00Z,2016-04-02T09:16:53Z
1020417,NSF Award 1020417; 1020417,2,TRUE,2015-03-17T00:00:00Z,2016-04-02T09:31:34Z
1021274,NSF Award NSF-ARC-1021274; NSF Award 1021274,3,TRUE,2015-11-23T00:00:00Z,2016-04-02T01:32:44Z
1022139,1022139; NSF Award 1022139,2,TRUE,2010-09-20T00:00:00Z,2017-03-22T10:20:38Z
1022472,1022472; NSF Award 1022472,3,TRUE,2014-09-03T00:00:00Z,2016-04-02T09:23:47Z
1022475,1022475; NSF Award 1022475,3,TRUE,2012-11-09T00:00:00Z,2016-04-02T08:59:57Z
1022703,NSF Award 1022703,28,TRUE,2015-11-19T00:00:00Z,2017-09-21T14:30:56Z
1022710,NSF Award 1022710; 1022710,2,TRUE,2015-11-06T00:00:00Z,2016-04-02T09:24:41Z
1022716,NSF ARC-1022716; 1022716,4,TRUE,2017-02-15T00:00:00Z,2017-03-09T16:51:48Z
1022843,NSF Award 1022843,2,TRUE,2013-10-24T00:00:00Z,2016-10-24T17:15:12Z
1022979,NSF Award 1022979,1,TRUE,2015-12-04T00:00:00Z,2017-07-31T15:06:26Z
1023118,1023118,16,TRUE,2009-11-18T00:00:00Z,2016-10-21T13:19:26Z
1023191,1023191,8,TRUE,2016-11-09T00:00:00Z,2016-11-09T16:00:00Z
1023264, 1023264; 1023264; NSF Award 1023264,3,TRUE,2014-10-21T00:00:00Z,2016-04-02T01:28:36Z
1023270,1023270,1,TRUE,2017-11-19T00:00:00Z,2017-12-04T09:48:24Z
1023272,1023272; NSF Award 1023272,3,TRUE,2014-12-01T00:00:00Z,2016-09-01T12:36:30Z
1023281,NSF Award 1023281,1,TRUE,2015-05-27T00:00:00Z,2016-04-02T09:03:47Z
1023283,NSF Award 1023283; NSF Award NSF-ANS-1023283,3,TRUE,2015-11-23T00:00:00Z,2016-04-02T01:32:44Z
1023318,1023318;  1023318; NSF Award 1023318,7,TRUE,2015-10-20T00:00:00Z,2016-06-10T16:00:00Z
1023331,1023331; NSF Award 1023331,5,TRUE,2010-09-20T00:00:00Z,2016-10-13T15:50:48Z
1023334,1023334,9,TRUE,2017-08-10T00:00:00Z,2017-09-05T12:31:34Z
1023348,NSF Award 1023348; 1023348,3,TRUE,2013-09-05T00:00:00Z,2016-04-02T09:24:09Z
1023371,1023371,3,TRUE,2016-12-05T00:00:00Z,2017-05-11T10:56:55Z
1023396,1023396; NSF Award 1023396,2,TRUE,2014-11-24T00:00:00Z,2016-04-02T09:05:05Z
1023446,NSF Award 1023446; 1023446,2,TRUE,NA,2016-11-18T12:01:24Z
1023462,NSF Award 1023462,3,TRUE,2014-10-10T00:00:00Z,2017-08-22T10:26:44Z
1023477,1023477; ARC-1023477,7,TRUE,2015-12-01T00:00:00Z,2016-11-10T09:46:38Z
1023537,1023537; NSF Award 1023537,5,TRUE,NA,2016-08-25T14:29:04Z
1023561,1023561; NSF Award 1023561,2,TRUE,2014-10-21T00:00:00Z,2016-04-02T08:58:10Z
1023574,1023574;    1023574; NSF Award 1023574,7,TRUE,2014-08-27T00:00:00Z,2016-10-14T12:38:30Z
1023582,NSF Award 1023582,1,TRUE,2014-11-18T00:00:00Z,2017-09-22T16:07:13Z
1023619,NSF Award 1023619,1,TRUE,2015-05-20T00:00:00Z,2016-04-02T08:59:15Z
1023623,1023623; NSF Award 1023623,5,TRUE,2015-05-06T00:00:00Z,2016-04-02T09:23:13Z
1023651,NSF Award 1023651,1,TRUE,2013-02-04T00:00:00Z,2016-04-02T09:27:04Z
1023654,NSF Award 1023654,1,TRUE,2014-10-21T00:00:00Z,2016-04-02T08:58:10Z
1023662,NSF Award 1023662; 1023662,2,TRUE,2015-11-06T00:00:00Z,2016-04-02T09:24:41Z
1023672, 1023672; 1023672; NSF Award 1023672,5,TRUE,2015-10-20T00:00:00Z,2016-04-02T09:21:57Z
1023686,NSF Award 1023686,1,TRUE,2015-04-28T00:00:00Z,2017-08-21T11:21:25Z
1026911,NSF Award 1026911,1,TRUE,2014-11-24T00:00:00Z,2016-04-02T09:33:32Z
1038596,NSF Award 1038596,1,TRUE,2014-12-03T00:00:00Z,2016-04-02T09:15:15Z
1042531,NSF Award 1042531,1,TRUE,2013-02-04T00:00:00Z,2016-04-02T08:58:32Z
1044610,1044610; NSF Award 1044610,2,TRUE,2015-01-28T00:00:00Z,2016-04-02T09:33:43Z
