funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
0803352,1,autogen.2016032220583506830.3,NSF Award 0803352,2012-09-27T00:00:00Z,2017-09-11T13:58:17Z,08/20/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: TransArctic Paleoclimate of the Eocene
0805703,1,autogen.2016032221253506466.2,NSF Award 0805703,2015-11-06T00:00:00Z,2016-04-02T09:25:14Z,08/25/2008,08/31/2010,ARCTIC RESEARCH AND EDUCATION,09/01/2008,"Polar Sea-Ice Information Needs: Interdisciplinary Training, Outreach and IPY Legacy Products Through a Sea-Ice System Services Approach"
0806202,2,autogen.2016032220511386212.2; autogen.2016032220511777213.3,NSF Award 0806202; 0806202,2013-02-06T00:00:00Z,2016-04-02T09:28:41Z,08/20/2008,11/30/2012,ARCTIC NATURAL SCIENCES,12/01/2008,"Collaborative Research: Controls on the motion of soft-bedded glaciers from hourly to seasonal observations of force budget and basal conditions at Breidamerkurjokull, Iceland"
0806339,1,autogen.2016032220564888103.3,NSF Award 0806339,2012-09-10T00:00:00Z,2017-08-01T15:22:26Z,08/18/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: The NEEM Deep Ice Core
0806394,1,autogen.20160322212744205100.4,NSF Award 0806394,2013-11-25T00:00:00Z,2018-02-07T12:40:49Z,08/20/2008,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:   Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes
0806414,2,autogen.2016032220564888103.3; autogen.2016032220565238904.3,NSF Award 0806414; 0806414,2012-09-10T00:00:00Z,2017-08-01T15:22:26Z,08/18/2008,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: The NEEM Deep Ice Core
0806451,2,autogen.2016032220554279485.2; autogen.20160322212744205100.4,NSF Award 0806451,2013-08-31T00:00:00Z,2016-04-02T09:08:21Z,08/20/2008,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:   Spatial and Temporal Influences of thermokarst features on Surface Processes in Arctic Landscapes
0806465,2,autogen.2016032220553957584.2; autogen.20160322212744205100.4,NSF Award 0806465,2013-11-15T00:00:00Z,2016-04-02T09:11:49Z,08/20/2008,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:  Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes
0806506,1,autogen.2016032221180369140.2,NSF Award 0806506,2013-03-06T00:00:00Z,2016-04-02T09:19:09Z,08/27/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2008,Modeling patch-scale expansion of arctic shrubs
0806643,2,autogen.2016032220473125154.3; autogen.2016032220473490155.2,0806643; NSF Award 0806643,2013-10-15T00:00:00Z,2016-03-22T16:00:00Z,08/28/2008,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2008,"Collaborative Research: Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, AK"
0806776,1,autogen.2016032220505117206.2,NSF Award 0806776,2012-08-28T00:00:00Z,2016-04-02T09:19:44Z,07/23/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: Cold-season gas exchange of arctic plants - resolving winter carbon and water balances of Alaskan arctic tundra
0807094,1,autogen.2016032221250209857.2,NSF Award 0807094,2013-11-07T00:00:00Z,2016-04-02T09:22:30Z,08/07/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,"RUI: Controls on methanogenesis, methane oxidation, and consumer utilization of methane-derived carbon in arctic lakes"
0808604,1,autogen.2016032221234178935.2,NSF Award 0808604,2013-06-21T00:00:00Z,2016-04-02T09:10:35Z,08/27/2008,12/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Reduction of iron and humic substances as a dominant respiratory process in arctic peat soils
