funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
1023334,9,arctic-data.14083.8; arctic-data.14084.7; arctic-data.14085.5; arctic-data.14086.6; arctic-data.14090.7; arctic-data.14092.5; arctic-data.14107.8; arctic-data.14109.6; arctic-data.14218.7,1023334,2017-08-10T00:00:00Z,2017-09-05T12:31:34Z,08/05/2010,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2010,Population genetics of a climate-indicating predator across the forest-tundra ecotone
1023348,3,autogen.2016032220551653378.2; autogen.2016032220552757081.3; autogen.2016042513181984301.9,NSF Award 1023348; 1023348,2013-09-05T00:00:00Z,2016-04-02T09:24:09Z,09/10/2010,12/31/2014,ARCTIC NATURAL SCIENCES,01/01/2011,Collaborative research: Sinking rates and nutritional quality of organic mater exported from sea ice;  the importance of exopolymeric substances
1023371,3,arctic-data.9875.17; arctic-data.9878.7; arctic-data.9897.2,1023371,2016-12-05T00:00:00Z,2017-05-11T10:56:55Z,08/12/2010,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Impact of Storm Activity on Recent Changes in Arctic Sea Ice Mass Balance
1023396,2,autogen.2016032221264257784.11; autogen.2016032221264762085.2,1023396; NSF Award 1023396,2014-11-24T00:00:00Z,2016-04-02T09:05:05Z,08/31/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Effects of Environmental Change on Arctic-Breeding Shorebirds
1023446,2,autogen.2016032220421072566.5; autogen.2016111713025219151.5,NSF Award 1023446; 1023446,NA,2016-11-18T12:01:24Z,07/13/2010,06/30/2016,AON IMPLEMENTATION,07/15/2010,"Collaborative Research:  Annual Observations of the Biological and Physical Marine Environment in the Chukchi and nearshore Beaufort Seas near Barrow, AK"
1023462,3,autogen.2016032220533625850.3; autogen.2016032220533986351.3; autogen.2016032220534358052.3,NSF Award 1023462,2014-10-10T00:00:00Z,2017-08-22T10:26:44Z,08/05/2010,07/31/2014,ARCTIC NATURAL SCIENCES,08/15/2010,Collaborative Research: Greenland Meltwater Geomicrobiology
1023477,7,arctic-data.9644.3; autogen.2016032221131551961.6; autogen.2016032221131911462.8; autogen.2016032221132578564.8; autogen.2016032221134053968.12; autogen.2018052110023157601.4; autogen.2018052416043129479.7,1023477; ARC-1023477,2015-12-01T00:00:00Z,2016-11-10T09:46:38Z,08/05/2010,07/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,08/15/2010,Collaborative Research: Integrating paleoecological analysis and ecological modeling to elucidate the responses of tundra fire regimes to climate change
1023537,5,arctic-data.9431.7; arctic-data.9433.10; arctic-data.9456.4; arctic-data.9459.3; autogen.2016032221170441222.3,1023537; NSF Award 1023537,NA,2016-08-25T14:29:04Z,08/25/2010,12/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2011,Late Quaternary Sea Ice History of the Beringian Arctic Gateway
1023561,2,arctic-data.13951.5; autogen.2016032220493222786.2,1023561; NSF Award 1023561,2014-10-21T00:00:00Z,2016-04-02T08:58:10Z,09/07/2012,08/31/2016,POLAR CYBERINFRASTRUCTURE,09/15/2012,"Collaborative Research - Development and innovation of the Barrow Area Information Database (BAID): A cyberinfrastructure that supports arctic science, outreach and education."
1023574,7,arctic-data.14790.10; arctic-data.14828.5; arctic-data.14830.6; arctic-data.9560.8; autogen.2016032220483700571.6; autogen.2018051414463707342.2; autogen.2018051415431231855.2,1023574;    1023574; NSF Award 1023574,2014-08-27T00:00:00Z,2016-10-14T12:38:30Z,08/13/2010,09/30/2017,ARCTIC SYSTEM SCIENCE PROGRAM,10/01/2010,"Closing the Isotope Hydrology at Summit: Measurements of Source Regions, Precipitation and Post-deposition Processes"
1023582,1,autogen.2016032221175530637.3,NSF Award 1023582,2014-11-18T00:00:00Z,2017-09-22T16:07:13Z,08/04/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Terrestrial Linkages to Microbial and Metazoan Communities in Coastal Ecosystems of the Beaufort Sea
1023619,1,autogen.2016032221055525644.2,NSF Award 1023619,2015-05-20T00:00:00Z,2016-04-02T08:59:15Z,09/10/2010,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2010,"Fisheries Privatization, Sociocultural Transitions, and Well-Being in Kodiak, Alaska"
1023623,5,autogen.2016032221093533101.3; autogen.2016032221094941905.3; autogen.2016032221101985713.3; autogen.2016032221102379014.2; autogen.2016032221103808118.3,1023623; NSF Award 1023623,2015-05-06T00:00:00Z,2016-04-02T09:23:13Z,08/05/2010,11/30/2015,ARCTIC SYSTEM SCIENCE PROGRAM,12/15/2010,Dynamics and Consequences of Increasing Ice-wedge Degradation
1023651,1,autogen.2016032220493955888.2,NSF Award 1023651,2013-02-04T00:00:00Z,2016-04-02T09:27:04Z,08/31/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,"Collaborative Research: A pan-Arctic, storm-by-storm isotopic investigation of the influence of Arctic sea ice on precipitation - a crucial link in the coupled climate system"
1023654,1,autogen.2016032220493222786.2,NSF Award 1023654,2014-10-21T00:00:00Z,2016-04-02T08:58:10Z,09/07/2012,08/31/2018,POLAR CYBERINFRASTRUCTURE,09/15/2012,"Collaborative Research - Development and innovation of the Barrow Area Information Database (BAID): A cyberinfrastructure that supports arctic science, outreach and education"
1023662,2,autogen.2016032221253838367.2; autogen.2016032221254162668.3,NSF Award 1023662; 1023662,2015-11-06T00:00:00Z,2016-04-02T09:24:41Z,08/05/2010,01/31/2014,AON IMPLEMENTATION,01/01/2011,Collaborative Research: Sea Ice Deformation Observation with an AON
1023672,5,arctic-data.7787.1; arctic-data.7787.1; arctic-data.7789.5; arctic-data.7789.5; autogen.2016032220372965593.2, 1023672; 1023672; NSF Award 1023672,2015-10-20T00:00:00Z,2016-04-02T09:21:57Z,09/09/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2010,"Collaborative Proposal:  Aerosol Concentrations, Sources and Transport Pathways within the Arctic Polar Dome during Recent Millennia"
1023686,1,autogen.2016032221111743129.3,NSF Award 1023686,2015-04-28T00:00:00Z,2017-08-21T11:21:25Z,03/10/2011,02/28/2015,ARCTIC SOCIAL SCIENCES,03/15/2011,Community-Based Documentation of Ice Seals and Walrus in the Bering Strait Region
1026911,1,autogen.2016032221043431123.2,NSF Award 1026911,2014-11-24T00:00:00Z,2016-04-02T09:33:32Z,08/04/2010,08/31/2014,ARCTIC SOCIAL SCIENCES,09/01/2010,Shetland Islands Climate and Settlement Project: Multidisciplinary Analysis of Environmental Catastrophes on Northern Coastlines
1038596,1,autogen.2016032221122157346.2,NSF Award 1038596,2014-12-03T00:00:00Z,2016-04-02T09:15:15Z,06/01/2010,05/31/2015,GRADUATE RESEARCH FELLOWSHIPS,06/01/2010,Graduate Research Fellowship Program
1042531,1,autogen.2016032220543525067.2,NSF Award 1042531,2013-02-04T00:00:00Z,2016-04-02T08:58:32Z,08/29/2011,08/31/2017,ARCTIC RESRCH SUPPRT & LOGISTI,09/01/2011,Collaborative Research: Science Coordination Office for Summit Station and the Greenland Traverse
1044610,2,arctic-data.13714.3; autogen.2016032221214238501.2,1044610; NSF Award 1044610,2015-01-28T00:00:00Z,2016-04-02T09:33:43Z,07/20/2011,07/31/2016,ARCTIC RESEARCH AND EDUCATION,08/01/2011,Collaborative Research: The Polaris Project II: Amplifying the Impact
1103443,6,arctic-data.13714.3; arctic-data.14817.10; arctic-data.14819.7; arctic-data.14821.5; arctic-data.14823.7; autogen.2016032220321169105.3,1103443; NSF Award 1103443,2013-12-16T00:00:00Z,2017-05-04T12:04:44Z,06/09/2011,05/31/2013,POST DOC/TRAVEL,06/15/2011,PostDoctoral Research Fellowship
1106317,2,arctic-data.9892.4; arctic-data.9892.4,PLR 1106317; NSF 1106317,2016-12-13T00:00:00Z,2016-12-14T10:34:34Z,08/31/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2011,Investigating links between atmospheric chemistry and climate using oxygen isotope measurements of sulfate and nitrate from Greenland ice cores
1106362,1,arctic-data.9585.2,1106362,2016-10-17T00:00:00Z,2016-10-20T16:38:22Z,07/27/2011,07/31/2016,ARCTIC SOCIAL SCIENCES,08/01/2011,Ethnoarchaeological investigation of the Yup'ik seal poke storage system in southwestern Alaska
1107106,49,arctic-data.10039.2; arctic-data.10040.2; arctic-data.10070.2; autogen.2016032221141335376.5; autogen.2016032221141681077.4; autogen.2016032221142436179.6; autogen.2016032221142846080.5; autogen.2016032221143281381.4; autogen.2016032221143690082.4; autogen.2016110311573176377.4; autogen.2016110313094137808.6; autogen.2016110315101871958.3; autogen.2016110322333497941.3; autogen.2016110409503648957.4; autogen.2016110712313695966.3; autogen.2016111015363973514.4; autogen.2016111814370624167.3; autogen.2016111816154181543.3; autogen.2016111817590463284.3; autogen.2016112000314327540.3; autogen.2016112010271750980.3; autogen.2016112017315991496.3; autogen.2016112018490494497.4; autogen.2016120116560488598.4; autogen.2016120407372944048.3; autogen.2016120410102827353.3; autogen.2016120413373255293.3; autogen.2016120715531185325.3; autogen.2016120718172643966.3; autogen.2016120720344881105.3; autogen.2016120807071658677.3; autogen.2016120809300210016.3; autogen.2016120811040981379.3; autogen.2017012020041850190.2; autogen.2017012107204822093.2; autogen.2017012108021579848.3; autogen.2017012116473803874.2; autogen.20170121195435500100.2; autogen.2017012208122828039.2; autogen.2017012213251501055.2; autogen.2017012300394877295.2; autogen.2017012320154769115.2; autogen.2017012419151778815.2; autogen.2017012615083838086.2; autogen.2017012622290736085.2; autogen.2017012713573166437.2; autogen.2017020213194173610.2; autogen.2017020221413402951.3; autogen.2017020312081947908.2,1107106,2014-10-07T00:00:00Z,2017-01-20T22:44:09Z,07/21/2011,07/31/2016,AON IMPLEMENTATION,08/01/2011,Integrating Passive Acoustic Monitoring in long-term oceanographic observations of the Bering Strait
1107343,2,autogen.2016032221230336525.3; autogen.2016032221231049727.3,NSF Award 1107343,2015-04-15T00:00:00Z,2017-09-08T10:23:00Z,08/03/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,Collaborative Research: Ice Core Studies Reconstructing Greenland Climate During the Eemian and Beyond
1107346,5,autogen.2016032221205441289.22; autogen.2016032221205808990.25; autogen.2016032221210178191.4; autogen.2016032221210489592.15; autogen.2018052415240837763.3,1107346; NSF Award 1107346,2014-12-10T00:00:00Z,2017-02-06T14:34:21Z,08/12/2011,02/28/2015,AON IMPLEMENTATION,09/01/2011,Collaborative Research: An Arctic Ocean Sea Surface pCO2 and pH Observing Network
1107381,7,arctic-data.2370.8; arctic-data.9519.1; arctic-data.9521.8; arctic-data.9523.3; arctic-data.9698.5; arctic-data.9698.5; autogen.2016051316164424637.4,PLR-1107381; 1107381,2016-04-19T00:00:00Z,2016-09-15T16:00:00Z,08/26/2011,01/31/2017,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research:  Linking belowground phenology and ecosystem function in a warming Arctic
1107398,1,autogen.2016032221172421528.3,NSF Award 1107398,2014-05-02T00:00:00Z,2017-09-22T17:02:44Z,08/04/2011,07/31/2015,AON IMPLEMENTATION,08/15/2011,"Long-term measurements of nitrogen oxides at the GEOSummit station, Greenland"
1107411,4,arctic-data.6170.7; arctic-data.7734.2; arctic-data.7791.7; arctic-data.9373.2,ARC-1107411; 1107411,2016-06-09T00:00:00Z,2016-06-17T15:56:27Z,08/24/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,COLLABORATIVE RESEARCH: Response of the Northwest Greenland Cryosphere to Holocene Climate Change
1107428,2,autogen.2016032221315314467.3; autogen.2016032221315619368.2,NSF Award 1107428,2015-12-03T00:00:00Z,2016-04-02T01:07:17Z,08/16/2011,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2011,Surface Energy Budgets at Arctic Terrestrial Sites: Quantifying Energy and Momentum Fluxes and their Associated Physical Processes
1107440,2,autogen.2016032220430952382.3; autogen.2016032220431427783.2,1107440; NSF Award 1107440,2015-11-23T00:00:00Z,2016-04-02T09:12:53Z,08/11/2011,10/31/2012,ARCTIC NATURAL SCIENCES,08/15/2011,Collaborative Research: Climate-mediated coupling of hydrology and biogeochemistry in arctic hillslopes
1107481,4,arctic-data.14571.10; arctic-data.14815.1; autogen.2016032220575060619.3; autogen.2016120112380268272.4,1107481; ARC-1107481; NSF Award 1107481,2012-11-01T00:00:00Z,2016-12-01T11:27:09Z,08/30/2011,08/31/2016,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON): Multiscale Observations of Lacustrine Systems
1107491,8,arctic-data.10107.8; arctic-data.10113.7; arctic-data.10154.10; autogen.2017081712481512849.5; autogen.2017081714403426778.4; autogen.2017081714502707208.5; autogen.2017081813001566959.5; autogen.2017081814104834117.5,1107491,2017-04-20T00:00:00Z,2017-09-18T14:41:57Z,08/19/2011,10/31/2016,ARCTIC NATURAL SCIENCES,11/01/2011,The role of tributaries in glacier surges
1107498,1,autogen.2016032222274311934.3,NSF Award 1107498,2015-11-26T00:00:00Z,2017-09-22T15:31:16Z,08/19/2011,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2011,"Understanding the Wave-Driven Circulation and Variability of the Polar Atmosphere through Coordinated Observation, Analysis, and Modeling"
1107524,1,autogen.2016032221221908312.3,NSF Award 1107524,2015-10-02T00:00:00Z,2017-08-25T12:34:05Z,06/28/2011,06/30/2015,ARCTIC SYSTEM SCIENCE PROGRAM,07/01/2011,"Past, Present and Fuuture States and Variations of the late Quarternary Permafrost Subsystem"
1107593,2,arctic-data.9894.1; arctic-data.9896.1,1107593,2016-12-09T00:00:00Z,2016-12-09T16:00:00Z,08/26/2011,08/31/2016,AON IMPLEMENTATION,09/01/2011,"Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
1107607,2,autogen.2016032220575060619.3; autogen.2016120112380268272.4,NSF Award 1107607,2012-11-01T00:00:00Z,2016-12-01T11:27:09Z,08/30/2011,02/29/2016,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON)--Multiscale observations of lacustrine systems
1107623,1,autogen.2016032220434034890.2,NSF Award 1107623,2015-09-30T00:00:00Z,2016-04-02T08:58:21Z,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,COLLABORATIVE RESEARCH: Observing and characterizing submesoscale dynamics in the Arctic Ocean
1107645,4,arctic-data.9445.4; autogen.2016032221204158385.2; autogen.2016061621363299947.3; autogen.2016111713204671466.13,1107645; NSF Award 1107645,2016-01-27T00:00:00Z,2016-04-02T09:20:08Z,08/24/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research:  Pacific-Arctic Carbon Synthesis - Transformations, Fluxes, and Budgets"
1107662,2,arctic-data.10020.22; autogen.2016060310074752984.9,1107662;                 1107662,NA,2017-02-21T15:51:20Z,07/27/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107695,1,autogen.2016032221300247239.3,NSF Award 1107695,2014-09-03T00:00:00Z,2017-08-17T14:30:29Z,07/27/2011,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2011,Studies of the Production of Molecular Halogens in Arctic Snowpacks and on Sea Ice Surfaces
1107725,3,autogen.2016032221254607269.2; autogen.2016032221260173573.2; autogen.2016032221260517374.2,NSF Award 1107725,2015-12-23T00:00:00Z,2016-04-01T23:04:21Z,08/29/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/15/2011,"Precision, Accuracy, and Aliasing of Sea Ice Thickness from Multiple Observing Platforms"
1107737,314,autogen.2017063015121995767.3; autogen.2017063016510768823.3; autogen.2017063018402350255.3; autogen.2017070312102555527.3; autogen.2017070314050078642.3; autogen.2017070315281702160.3; autogen.2017070317051033606.3; autogen.2017070318580145491.3; autogen.2017070319410503698.3; autogen.2017070320145698666.3; autogen.2017070322123632650.3; autogen.2017070323404103451.3; autogen.2017070402114155335.3; autogen.2017070509462163171.3; autogen.2017070513273421600.3; autogen.2017070515275964143.4; autogen.2017070516451753201.3; autogen.2017070518563294893.3; autogen.2017070521550639182.3; autogen.2017070523290015145.4; autogen.2017070600280897400.3; autogen.2017070609433434258.3; autogen.2017070611120899197.3; autogen.2017070612534980623.8; autogen.2017070613100388032.5; autogen.2017070615111163744.3; autogen.2017070617185639651.3; autogen.2017070619114773668.5; autogen.2017070620080469795.3; autogen.2017070622233262414.3; autogen.2017070700223778931.4; autogen.2017070701223370358.3; autogen.2017070704122767878.3; autogen.2017070707081147096.4; autogen.2017071114383433689.3; autogen.2017071116074974998.3; autogen.2017071117491997807.3; autogen.2017071119484893316.3; autogen.2017071120165644184.3; autogen.2017071120485599151.3; autogen.2017071121502102238.5; autogen.2017071210323322775.4; autogen.2017071212154798986.3; autogen.2017071214232266147.3; autogen.2017071216555705507.3; autogen.2017071218154279400.4; autogen.2017071220114599394.3; autogen.2017071221354968885.4; autogen.2017071311332294382.3; autogen.2017071312460389198.3; autogen.20170713135013790100.3; autogen.2017071317293833080.3; autogen.2017071319444044093.2; autogen.20170713212114484100.3; autogen.2017071322541614021.4; autogen.2017071409540792220.3; autogen.2017071411315603553.5; autogen.2017071414541308561.3; autogen.2017071417361529175.2; autogen.2017071418560008482.3; autogen.2017071420230666603.5; autogen.2017071421441767197.3; autogen.2017071503224230972.3; autogen.2017071505280103095.4; autogen.2017071519532372002.4; autogen.2017071520270533106.3; autogen.2017071521101659508.3; autogen.2017071522351637532.3; autogen.2017071523195200450.3; autogen.2017071600154132490.3; autogen.2017071602115112007.3; autogen.2017071603072606411.3; autogen.2017071604301894770.3; autogen.2017071605412400307.3; autogen.2017071610282103713.3; autogen.2017071611134708915.3; autogen.2017071612410535139.3; autogen.2017071613295668557.3; autogen.2017071614311388997.3; autogen.2017071617091026717.3; autogen.2017071618120450719.3; autogen.2017071620243279443.3; autogen.2017071621412236362.3; autogen.2017071623074011901.3; autogen.2017071709122506822.4; autogen.2017071710084324528.4; autogen.2017071712580430661.3; autogen.2017071716013992223.3; autogen.2017071717405255166.3; autogen.2017071813440623701.4; autogen.2017071815200027463.3; autogen.2017071816501357825.4; autogen.2017071818141699949.3; autogen.2017071819404528003.3; autogen.2017071820251398937.3; autogen.2017071821044150536.4; autogen.2017071822554394560.3; autogen.2017071900565429214.3; autogen.2017071902054984748.3; autogen.2017071909093303747.3; autogen.2017071909531609883.3; autogen.2017071910280676983.4; autogen.2017071916310065925.4; autogen.2017071917581365512.4; autogen.2017071919002574912.4; autogen.2017071920135627251.4; autogen.2017071921451012541.4; autogen.2017071923154671085.4; autogen.2017072000051264150.4; autogen.2017072001325797534.4; autogen.2017072002423484031.4; autogen.2017072004062708870.4; autogen.2017072005484893557.4; autogen.2017072007403257900.4; autogen.2017072012133753663.3; autogen.2017072013372500846.3; autogen.2017072013444477727.4; autogen.2017072013460170880.3; autogen.2017072013561988563.3; autogen.2017072014495925397.3; autogen.2017072015013345289.3; autogen.2017072015051904827.3; autogen.2017072015152768155.3; autogen.2017072016501952540.3; autogen.2017072016593649728.3; autogen.2017072016595885738.5; autogen.2017072017034213034.5; autogen.2017072017043600284.3; autogen.2017072017051885525.5; autogen.2017072017312580273.3; autogen.2017072018030327227.3; autogen.2017072019033389345.3; autogen.2017072019474649357.3; autogen.2017072020050065133.6; autogen.2017072020455108747.3; autogen.2017072020503321747.3; autogen.2017072021102969064.3; autogen.2017072021245065013.3; autogen.2017072022074815777.3; autogen.2017072022575503956.5; autogen.2017072100095746232.3; autogen.2017072100105643342.3; autogen.2017072101405847450.4; autogen.2017072101472574759.3; autogen.2017072102151693263.3; autogen.2017072104344803800.3; autogen.2017072104522106884.3; autogen.2017072106261920462.3; autogen.2017072108125587116.3; autogen.2017072110302983515.2; autogen.2017072110313419832.3; autogen.2017072110570428071.5; autogen.2017072111040212402.3; autogen.2017072111130382178.3; autogen.2017072111225568410.3; autogen.2017072112111615304.3; autogen.2017072112142908167.3; autogen.2017072114282386175.3; autogen.2017072114425437242.3; autogen.2017072116272966480.2; autogen.2017072409423470334.3; autogen.2017072410233911699.3; autogen.2017072410453986042.3; autogen.2017072410502940335.3; autogen.2017072411453845516.4; autogen.2017072411504183915.4; autogen.2017072412225094604.3; autogen.2017072412225416805.3; autogen.2017072413564495653.6; autogen.2017072414224058898.3; autogen.2017072414251635442.3; autogen.2017072414260571262.3; autogen.2017072414290377448.3; autogen.2017072414531187436.3; autogen.2017072414560190648.3; autogen.2017072414571875551.3; autogen.2017072415004656408.3; autogen.2017072415074742289.3; autogen.2017072415472460472.4; autogen.2017072415532007926.4; autogen.2017072415532696928.4; autogen.2017072415533869731.3; autogen.2017072416163713919.3; autogen.2017072416183609426.3; autogen.2017072416245224311.3; autogen.2017072416423571913.3; autogen.2017072416452655662.3; autogen.2017072416491648234.3; autogen.2017072417522730243.3; autogen.2017072418253981281.3; autogen.2017072419265296805.3; autogen.2017072423332236130.3; autogen.2017072423464683848.3; autogen.2017072501280755852.3; autogen.2017072503444802658.3; autogen.2017072503532026985.3; autogen.2017072505371050654.3; autogen.2017072510114718316.4; autogen.2017072510292796217.4; autogen.2017072511413126825.3; autogen.2017072511441655140.3; autogen.2017072512365618367.3; autogen.2017072513002444608.3; autogen.2017072513004559112.3; autogen.2017072513011311333.3; autogen.2017072513020594287.3; autogen.2017072513175709785.3; autogen.2017072513241642885.3; autogen.2017072514022280509.3; autogen.2017072514024219510.3; autogen.2017072514044585041.3; autogen.2017072514062197717.3; autogen.2017072514075161033.3; autogen.2017072514100848849.3; autogen.2017072514154911948.3; autogen.2017072515102065613.3; autogen.2017072515140896559.3; autogen.2017072515282038421.3; autogen.2017072515595246672.3; autogen.2017072516143612667.3; autogen.2017072516330744875.3; autogen.2017072516344026088.3; autogen.20170725163528457100.5; autogen.2017072517200196002.6; autogen.20170725181541706100.3; autogen.2017072518533282981.3; autogen.2017072518535947087.3; autogen.2017072520294503772.3; autogen.2017072520473185561.3; autogen.2017072521074253934.3; autogen.2017072521140458109.3; autogen.2017072521445980467.3; autogen.2017072522043274002.3; autogen.2017072522132833867.3; autogen.2017072522360513339.3; autogen.2017072522365925778.3; autogen.2017072523052241722.3; autogen.2017072600015452132.3; autogen.2017072600095256811.3; autogen.2017072601080537836.3; autogen.2017072601362781273.3; autogen.2017072602034004773.3; autogen.2017072602294023280.3; autogen.2017072603324511700.4; autogen.2017072604053332904.3; autogen.2017072604195652641.3; autogen.2017072609282147391.4; autogen.2017072609553236929.4; autogen.2017072610205543643.3; autogen.2017072610210192147.3; autogen.2017072610211001253.3; autogen.2017072611134728475.4; autogen.2017072611211842087.4; autogen.2017072611230273290.3; autogen.2017072611375070018.3; autogen.2017072611512835462.3; autogen.2017072616232628060.4; autogen.2017081712174997578.5; autogen.2017081712222503807.5; autogen.2017081712235697671.4; autogen.2017081713284234798.4; autogen.2017081714305517070.4; autogen.2017081714331337224.4; autogen.2017081714401776668.3; autogen.2017081714411301804.4; autogen.2017081714450729312.3; autogen.2017081715371560995.4; autogen.2017081717081603014.4; autogen.2017081717222319790.4; autogen.2017081718154927442.4; autogen.2017081719305675311.3; autogen.2017081810011193832.4; autogen.2017081811101553120.4; autogen.2017081816221044440.3; autogen.2017081816263203483.5; autogen.2017081816271350193.5; autogen.2017081819160260176.3; autogen.2017081820001201163.5; autogen.2017081820244992260.3; autogen.2017081821200636184.4; autogen.2017081823020478402.5; autogen.2017081823334904327.4; autogen.2017082110103260644.5; autogen.2017082112142211235.3; autogen.2017082112445151637.4; autogen.2017082112483186824.4; autogen.2017082113593951908.4; autogen.2017082210151628936.4; autogen.2017082210345581743.4; autogen.2017082212180256733.3; autogen.2017082214114467713.3; autogen.2017082216231312675.5; autogen.2017082218254176154.5; autogen.2017082312294277754.3; autogen.2017082312322485118.3; autogen.2017082314363386900.3; autogen.2017082316094379804.3; autogen.2017090110041629202.3; autogen.2017090510290912264.2; autogen.2017090712570944680.3; autogen.2017090715501897659.3; autogen.2017091516190082201.3; autogen.2017091914510358463.5; autogen.2017091914520530466.3; autogen.2017101009400191377.4; autogen.2017103010582286361.3; autogen.2017103011295450655.4; autogen.2017103110183951757.4; autogen.2017110112461761604.2; autogen.2017110613424781475.2; autogen.2017110710254928448.4; autogen.2017110812561627730.2; autogen.2017110814363987237.2; autogen.2017111614544134729.4,1107737,NA,2017-07-13T20:59:49Z,03/07/2012,02/29/2016,POLAR CYBERINFRASTRUCTURE,03/15/2012,Phase One data rescue of the Austin Post air photo collection and new repeat aerial photography of Alaskan valley glaciers
1107761,1,autogen.2016032221181970345.3,NSF Award 1107761,2015-10-08T00:00:00Z,2017-09-22T11:08:37Z,07/20/2011,07/31/2015,ARCTIC NATURAL SCIENCES,08/01/2011,Collaborative Research:  Are There Natural Climate Cycles in the Holocene Variations of Arctic Sea Ice and Greenland Icebergs Across the Denmark Strait?
1107774,1,arctic-data.14657.9,1107774,2018-03-22T00:00:00Z,2018-04-06T10:53:08Z,08/24/2011,12/31/2017,ANTARCTIC OCEAN & ATMOSPH SCI,01/01/2012,The Arctic Great Rivers Observatory (Arctic-GRO)
1107792,8,autogen.2016032220570743708.2; autogen.2016032220571201409.2; autogen.2016032220571577210.2; autogen.2016032220571952611.2; autogen.2016032220572388712.2; autogen.2016032220575060619.3; autogen.2016032220575840021.2; autogen.2016120112380268272.4,NSF Award 1107792,2012-11-01T00:00:00Z,2016-04-01T22:48:03Z,08/30/2011,08/31/2015,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON)
1107798,1,autogen.2016032222275283137.2,NSF Award 1107798,2015-02-04T00:00:00Z,2016-04-02T09:10:01Z,09/14/2011,09/30/2014,ARCTIC NATURAL SCIENCES,10/01/2011,Collaborative Research: Forty-Thousand Years of Yedoma: An investigation into the spatial heterogeneity and paleo-history of organic-rich permafrost in Alaska
1107801,1,arctic-data.14506.3,1107801,2018-01-05T00:00:00Z,2018-01-05T17:09:40Z,08/10/2011,08/31/2017,ARCTIC NATURAL SCIENCES,09/01/2011,The  ultra-warm Arctic ca. 90 million years ago
1107854,1,arctic-data.9514.1,1107854,2016-09-09T00:00:00Z,2016-09-09T16:00:00Z,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107885,4,arctic-data.6236.6; arctic-data.6238.5; arctic-data.6240.6; autogen.2016060310074752984.9,1107885;                 1107885,NA,2016-06-01T12:23:35Z,07/27/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
1107892,1,arctic-data.10053.6,1107892,2017-05-28T00:00:00Z,2017-07-31T12:46:38Z,08/26/2011,08/31/2016,AON IMPLEMENTATION,09/01/2011,"Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
1107942,5,arctic-data.9526.13; arctic-data.9532.8; autogen.2016032220514789521.3; autogen.2016092909092856889.2; autogen.2016092909141341792.2,1107942; NSF Award 1107942,NA,2016-09-29T09:11:32Z,07/20/2011,07/31/2016,ARCTIC NATURAL SCIENCES,08/01/2011,Collaborative Research: Do Holocene Variations In Arctic Sea Ice And Greenland Icebergs Drifting Through Denmark Strait Reflect Natural Cycles?
